,latitude,longitude,city,state,status,population,county,countyfips,country
905,34.1794458260001,-118.539856202,TARZANA,CA,OPEN,60,LOS ANGELES,06037,USA
906,33.893548348,-117.927462694,FULLERTON,CA,OPEN,351,ORANGE,06059,USA
911,37.9796673370001,-120.390795557,SONORA,CA,OPEN,68,TUOLUMNE,06109,USA
912,34.429466689,-119.723809039,SANTA BARBARA,CA,OPEN,412,SANTA BARBARA,06083,USA
1662,32.749628069,-117.159769444,SAN DIEGO,CA,OPEN,110,SAN DIEGO,06073,USA
1663,34.090215872,-118.144034807,ALHAMBRA,CA,OPEN,144,LOS ANGELES,06037,USA
1664,37.775879489,-121.9581807,SAN RAMON,CA,OPEN,123,CONTRA COSTA,06013,USA
1665,34.641330845,-120.444777122,LOMPOC,CA,OPEN,110,SANTA BARBARA,06083,USA
1669,36.2642058010001,-119.893134112,LEMOORE,CA,OPEN,-999,KINGS,06031,USA
1670,34.052015037,-118.238420471,LOS ANGELES,CA,OPEN,-999,LOS ANGELES,06037,USA
1671,34.0234136560001,-118.397947171,CULVER CITY,CA,OPEN,16,LOS ANGELES,06037,USA
1673,34.0494388270001,-117.214083143,REDLANDS,CA,OPEN,89,SAN BERNARDINO,06071,USA
1674,32.694142798,-117.168592207,CORONADO,CA,OPEN,59,SAN DIEGO,06073,USA
1675,37.4053530240001,-122.139784645,PALO ALTO,CA,OPEN,-999,SANTA CLARA,06085,USA
1676,37.7277742370001,-122.430891015,SAN FRANCISCO,CA,OPEN,391,SAN FRANCISCO,06075,USA
1677,37.7822836060001,-122.443253353,SAN FRANCISCO,CA,OPEN,247,SAN FRANCISCO,06075,USA
1678,36.323633972,-119.667223471,HANFORD,CA,OPEN,142,KINGS,06031,USA
1679,35.2779315060001,-120.650641412,SAN LUIS OBISPO,CA,OPEN,103,SAN LUIS OBISPO,06079,USA
1680,37.465292103,-122.161005159,MENLO PARK,CA,OPEN,-999,SAN MATEO,06081,USA
1681,34.2746459910001,-119.258302632,VENTURA,CA,OPEN,242,VENTURA,06111,USA
1682,34.4429151860001,-119.264384312,OJAI,CA,OPEN,25,VENTURA,06111,USA
1683,38.4417306500001,-122.702460294,SANTA ROSA,CA,OPEN,60,SONOMA,06097,USA
1685,34.6020827880001,-120.126303888,SOLVANG,CA,OPEN,11,SANTA BARBARA,06083,USA
1686,38.5425492860001,-122.47485724,ST. HELENA,CA,OPEN,151,NAPA,06055,USA
1687,37.855876369,-122.257265691,BERKELEY,CA,OPEN,347,ALAMEDA,06001,USA
1688,37.828739339,-122.259307148,OAKLAND,CA,OPEN,50,ALAMEDA,06001,USA
1689,37.693596465,-121.880307614,PLEASANTON,CA,OPEN,167,ALAMEDA,06001,USA
1690,37.961673262,-121.300982961,STOCKTON,CA,OPEN,202,SAN JOAQUIN,06077,USA
1691,40.436883277,-120.627728476,SUSANVILLE,CA,OPEN,38,LASSEN,06035,USA
1692,34.1298015090001,-117.971137969,DUARTE,CA,OPEN,217,LOS ANGELES,06037,USA
1693,34.1503629690001,-118.23006375,GLENDALE,CA,OPEN,515,LOS ANGELES,06037,USA
1694,34.06534422,-117.985695172,BALDWIN PARK,CA,OPEN,272,LOS ANGELES,06037,USA
1695,34.0668973360001,-118.243401894,LOS ANGELES,CA,OPEN,68,LOS ANGELES,06037,USA
1696,34.1579782520001,-118.63663587,WOODLAND HILLS,CA,OPEN,242,LOS ANGELES,06037,USA
1697,33.910671194,-118.064124345,NORWALK,CA,OPEN,50,LOS ANGELES,06037,USA
1698,36.9438121160001,-120.0446582,MADERA,CA,OPEN,106,MADERA,06039,USA
1699,37.3694588220001,-122.079995668,MOUNTAIN VIEW,CA,OPEN,300,SANTA CLARA,06085,USA
1700,37.336332601,-122.002031407,SANTA CLARA,CA,OPEN,24,SANTA CLARA,06085,USA
1701,37.036558364,-121.571371037,GILROY,CA,OPEN,93,SANTA CLARA,06085,USA
1703,36.987699757,-121.977416617,SANTA CRUZ,CA,OPEN,30,SANTA CRUZ,06087,USA
1704,36.927130666,-121.792911066,WATSONVILLE,CA,OPEN,106,SANTA CRUZ,06087,USA
1705,37.5955287,-122.382845793,BURLINGAME,CA,OPEN,281,SAN MATEO,06081,USA
